[18:49:46.530] |E| [logging::ret_error_impl]: sceSysmoduleIsLoaded returned SCE_SYSMODULE_ERROR_UNLOADED (0x805a1001)
[18:49:46.533] |W| [ngs::create_voice_definition]: Missing voice definition for Buss Type 7, using passthrough.
[18:49:46.536] |W| [unimplemented_impl]: Unimplemented sceSysmoduleUnloadModule import called.
[18:49:46.647] |T| [export_sceNgsPatchCreateRouting]: Patching 0xCD6D580:0:0 to 0xCD72480:0
[18:49:46.809] |W| [unimplemented_impl]: Unimplemented sceKernelChangeThreadVfpException import called.
[18:49:46.812] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayThreadSetDisabled02 import called.
[18:49:46.877] |E| [logging::ret_error_impl]: sceAppUtilDrmClose returned SCE_APPUTIL_ERROR_NOT_MOUNTED (0x80100604)
[18:49:47.120] |I| [float_to_half_init]: AVX+F16C instruction set is supported. Using fast f32 to f16 conversion
[18:49:47.128] |I| [export_sceIoOpen]: Opening file: app0:/data/SYSTEM.cpk
[18:49:47.132] |T| [open_file]: sceIoOpen: Opening file app0:/data/SYSTEM.cpk (ux0:/app/PCSG00815/data/SYSTEM.cpk), fd: 0x3
[18:49:47.134] |W| [unimplemented_impl]: Unimplemented sceCommonDialogUpdate import called.
[18:49:47.232] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0xdf4c665a sceSystemGestureUpdatePrimitiveTouchRecognizer at 0x2b8a20
[18:49:47.303] |T| [close_file]: sceIoClose: Closing file fd: 0x3
[18:49:47.329] |I| [export_sceIoOpen]: Opening file: app0:/data/SYSTEM.cpk
[18:49:47.331] |T| [open_file]: sceIoOpen: Opening file app0:/data/SYSTEM.cpk (ux0:/app/PCSG00815/data/SYSTEM.cpk), fd: 0x4
[18:49:47.343] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0x851fb144 sceSystemGestureUpdateTouchRecognizer at 0x2b8a00
[18:49:47.361] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0x13ad2218 sceSystemGestureGetTouchEventsCount at 0x2b89c0
[18:49:47.366] |W| [unimplemented_impl]: Unimplemented sceMotionGetState import called.
[18:49:47.382] |I| [export_sceIoOpen]: Opening file: app0:/data/STORY.cpk
[18:49:47.385] |T| [open_file]: sceIoOpen: Opening file app0:/data/STORY.cpk (ux0:/app/PCSG00815/data/STORY.cpk), fd: 0x5
[18:49:47.388] |T| [close_file]: sceIoClose: Closing file fd: 0x5
[18:49:47.399] |I| [export_sceIoOpen]: Opening file: app0:/data/STORY.cpk
[18:49:47.402] |T| [open_file]: sceIoOpen: Opening file app0:/data/STORY.cpk (ux0:/app/PCSG00815/data/STORY.cpk), fd: 0x6
[18:49:47.421] |I| [export_sceIoOpen]: Opening file: app0:/data/GAME.cpk
[18:49:47.468] |T| [open_file]: sceIoOpen: Opening file app0:/data/GAME.cpk (ux0:/app/PCSG00815/data/GAME.cpk), fd: 0x7
[18:49:47.471] |T| [close_file]: sceIoClose: Closing file fd: 0x7
[18:49:47.482] |I| [export_sceIoOpen]: Opening file: app0:/data/GAME.cpk
[18:49:47.484] |T| [open_file]: sceIoOpen: Opening file app0:/data/GAME.cpk (ux0:/app/PCSG00815/data/GAME.cpk), fd: 0x8
[18:49:47.505] |I| [export_sceIoOpen]: Opening file: app0:/data/MOVIE.cpk
[18:49:47.558] |T| [open_file]: sceIoOpen: Opening file app0:/data/MOVIE.cpk (ux0:/app/PCSG00815/data/MOVIE.cpk), fd: 0x9
[18:49:47.561] |T| [close_file]: sceIoClose: Closing file fd: 0x9
[18:49:47.572] |I| [export_sceIoOpen]: Opening file: app0:/data/MOVIE.cpk
[18:49:47.573] |T| [open_file]: sceIoOpen: Opening file app0:/data/MOVIE.cpk (ux0:/app/PCSG00815/data/MOVIE.cpk), fd: 0xa
[18:49:47.594] |I| [export_sceIoOpen]: Opening file: app0:/data/SOUND.cpk
[18:49:47.694] |T| [open_file]: sceIoOpen: Opening file app0:/data/SOUND.cpk (ux0:/app/PCSG00815/data/SOUND.cpk), fd: 0xb
[18:49:47.699] |T| [close_file]: sceIoClose: Closing file fd: 0xb
[18:49:47.711] |I| [export_sceIoOpen]: Opening file: app0:/data/SOUND.cpk
[18:49:47.714] |T| [open_file]: sceIoOpen: Opening file app0:/data/SOUND.cpk (ux0:/app/PCSG00815/data/SOUND.cpk), fd: 0xc
[18:49:47.834] |I| [export_sceIoOpen]: Opening file: app0:/data/VOICE01.cpk
