[08:35:55.303] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/TEX/SAVELOAD.gxt
[08:35:55.447] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/TEX/SCRIPT.gxt
[08:35:55.589] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/TEX/SEQUEL.gxt
[08:35:55.711] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/TEX/TITLE.gxt
[08:35:55.815] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/RNG_SET_TOOL/TEX/VEDITION.gxt
[08:35:55.957] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/SH9000_P03.gxt
[08:35:56.031] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/Debug/TC00_00_MSK.gxt
[08:35:56.034] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/icon.png
[08:35:56.037] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon000.png
[08:35:56.041] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon004.png
[08:35:56.044] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon005.png
[08:35:56.046] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon006.png
[08:35:56.048] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon007.png
[08:35:56.050] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon008.png
[08:35:56.053] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon101.png
[08:35:56.056] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon102.png
[08:35:56.058] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon103.png
[08:35:56.060] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon109.png
[08:35:56.062] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon110.png
[08:35:56.065] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon111.png
[08:35:56.067] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon112.png
[08:35:56.069] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon113.png
[08:35:56.071] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon201.png
[08:35:56.073] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon202.png
[08:35:56.076] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon203.png
[08:35:56.078] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon209.png
[08:35:56.081] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon210.png
[08:35:56.083] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon211.png
[08:35:56.086] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon212.png
[08:35:56.088] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon213.png
[08:35:56.090] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon301.png
[08:35:56.093] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon302.png
[08:35:56.095] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon303.png
[08:35:56.098] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon309.png
[08:35:56.101] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon310.png
[08:35:56.104] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon311.png
[08:35:56.106] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon312.png
[08:35:56.108] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon313.png
[08:35:56.111] |I| [install_archive_content]: Extracting ./sdcard/ux0/app/PCSG01180/Data/ICON/icon401.png
