[15:09:05.152] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets0.resource of fd: 0x9
[15:09:05.153] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets1.assets.resS of fd: 0x9
[15:09:05.153] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets13.assets.resS of fd: 0x9
[15:09:05.153] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets2.assets.resS of fd: 0x9
[15:09:05.155] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets23.assets.resS of fd: 0x9
[15:09:05.155] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets3.assets.resS of fd: 0x9
[15:09:05.156] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets33.assets.resS of fd: 0x9
[15:09:05.156] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets43.assets.resS of fd: 0x9
[15:09:05.156] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/sharedassets52.assets.resS of fd: 0x9
[15:09:05.157] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/StreamingAssets of fd: 0x9
[15:09:05.158] |T| [close_dir]: sceIoDclose: Closing dir fd: 0x9
[15:09:05.160] |T| [open_dir]: _sceIoDopen: Opening dir app0:/Media/Managed (ux0:/app/PCSE00838/Media/Managed), fd: 0xa
[15:09:05.161] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/Assembly-CSharp.dll of fd: 0xa
[15:09:05.161] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/mono of fd: 0xa
[15:09:05.162] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/mscorlib.dll of fd: 0xa
[15:09:05.164] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/SonyNP.dll of fd: 0xa
[15:09:05.164] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/SonyVitaCommonDialog.dll of fd: 0xa
[15:09:05.165] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/SonyVitaSavedGames.dll of fd: 0xa
[15:09:05.165] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/System.Configuration.dll of fd: 0xa
[15:09:05.166] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/System.Core.dll of fd: 0xa
[15:09:05.166] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/System.dll of fd: 0xa
[15:09:05.167] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/System.Security.dll of fd: 0xa
[15:09:05.167] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/System.Xml.dll of fd: 0xa
[15:09:05.168] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/UnityEngine.dll of fd: 0xa
[15:09:05.168] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/UnityEngine.dll.mdb of fd: 0xa
[15:09:05.169] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/UnityEngine.Networking.dll of fd: 0xa
[15:09:05.169] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/UnityEngine.UI.dll of fd: 0xa
[15:09:05.170] |T| [close_dir]: sceIoDclose: Closing dir fd: 0xa
[15:09:05.171] |T| [open_dir]: _sceIoDopen: Opening dir app0:/Media/Managed/mono (ux0:/app/PCSE00838/Media/Managed/mono), fd: 0xb
[15:09:05.172] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/mono/2.0 of fd: 0xb
[15:09:05.172] |T| [close_dir]: sceIoDclose: Closing dir fd: 0xb
[15:09:05.173] |T| [open_dir]: _sceIoDopen: Opening dir app0:/Media/Managed/mono/2.0 (ux0:/app/PCSE00838/Media/Managed/mono/2.0), fd: 0xc
[15:09:05.173] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/mono/2.0/machine.config of fd: 0xc
[15:09:05.174] |T| [close_dir]: sceIoDclose: Closing dir fd: 0xc
[15:09:05.175] |T| [open_dir]: _sceIoDopen: Opening dir app0:/Media/Modules (ux0:/app/PCSE00838/Media/Modules), fd: 0xd
[15:09:05.175] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Modules/mono-vita.suprx of fd: 0xd
[15:09:05.175] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Modules/MonoAssembliesPSP2.suprx of fd: 0xd
[15:09:05.176] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Modules/pthread.suprx of fd: 0xd
[15:09:05.176] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Modules/SUPRXManager.suprx of fd: 0xd
[15:09:05.177] |T| [close_dir]: sceIoDclose: Closing dir fd: 0xd
[15:09:05.177] |T| [open_dir]: _sceIoDopen: Opening dir app0:/Media/Plugins (ux0:/app/PCSE00838/Media/Plugins), fd: 0xe
