[07:15:08.458] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.458] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.459] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x6, offset: 0xE0, whence: SCE_SEEK_SET
[07:15:08.459] |T| [read_file]: parse_trophy_file: Reading 8 bytes of fd 0x6
[07:15:08.459] |T| [read_file]: parse_trophy_file: Reading 8 bytes of fd 0x6
[07:15:08.459] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x6, offset: 0x100, whence: SCE_SEEK_SET
[07:15:08.459] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.460] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.460] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.460] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.460] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.460] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.461] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.461] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.461] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.461] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.461] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.461] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.462] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x6, offset: 0x120, whence: SCE_SEEK_SET
[07:15:08.462] |T| [read_file]: parse_trophy_file: Reading 8 bytes of fd 0x6
[07:15:08.462] |T| [read_file]: parse_trophy_file: Reading 8 bytes of fd 0x6
[07:15:08.462] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x6, offset: 0x140, whence: SCE_SEEK_SET
[07:15:08.462] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.462] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.463] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.463] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.463] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.463] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.463] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.463] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.464] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.464] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.464] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.464] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.464] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x6, offset: 0x160, whence: SCE_SEEK_SET
[07:15:08.465] |T| [read_file]: parse_trophy_file: Reading 8 bytes of fd 0x6
[07:15:08.465] |T| [read_file]: parse_trophy_file: Reading 8 bytes of fd 0x6
[07:15:08.465] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x6, offset: 0x180, whence: SCE_SEEK_SET
[07:15:08.465] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.465] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.465] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.466] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.466] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.466] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.466] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.466] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.466] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.467] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.467] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.467] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.467] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x6, offset: 0x1A0, whence: SCE_SEEK_SET
[07:15:08.467] |T| [read_file]: parse_trophy_file: Reading 8 bytes of fd 0x6
[07:15:08.468] |T| [read_file]: parse_trophy_file: Reading 8 bytes of fd 0x6
[07:15:08.468] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x6, offset: 0x1C0, whence: SCE_SEEK_SET
[07:15:08.468] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.468] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.469] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.469] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.469] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.469] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.469] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.469] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.470] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.470] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.471] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.471] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.471] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x6, offset: 0x1E0, whence: SCE_SEEK_SET
[07:15:08.472] |T| [read_file]: parse_trophy_file: Reading 8 bytes of fd 0x6
[07:15:08.472] |T| [read_file]: parse_trophy_file: Reading 8 bytes of fd 0x6
[07:15:08.472] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x6, offset: 0x200, whence: SCE_SEEK_SET
[07:15:08.472] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.473] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.473] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.473] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.473] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.474] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.474] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.474] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.474] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.474] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.474] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.475] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.475] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x6, offset: 0x220, whence: SCE_SEEK_SET
[07:15:08.475] |T| [read_file]: parse_trophy_file: Reading 8 bytes of fd 0x6
[07:15:08.475] |T| [read_file]: parse_trophy_file: Reading 8 bytes of fd 0x6
[07:15:08.476] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x6, offset: 0x240, whence: SCE_SEEK_SET
[07:15:08.476] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.476] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.476] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.477] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.477] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.477] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.477] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.477] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.478] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.478] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.478] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.478] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.478] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x6, offset: 0x260, whence: SCE_SEEK_SET
[07:15:08.479] |T| [read_file]: parse_trophy_file: Reading 8 bytes of fd 0x6
[07:15:08.479] |T| [read_file]: parse_trophy_file: Reading 8 bytes of fd 0x6
[07:15:08.479] |T| [seek_file]: parse_trophy_file: Seeking fd: 0x6, offset: 0x280, whence: SCE_SEEK_SET
[07:15:08.479] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.480] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.480] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.480] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.480] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
[07:15:08.481] |T| [read_file]: parse_trophy_file: Reading 1 bytes of fd 0x6
