oadExec]: sceAppMgrLoadExec run self: app0:GOW2.self
[23:21:01.596] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05283_00/TROP_00.SFM (ux0:/user/00/trophy/conf/NPWR05283_00/TROP_00.SFM), fd: 0xA
[23:21:01.599] |T| [write_file]: install_trophy_context: Writing to fd: 0xA, size: 6264
[23:21:01.600] |T| [close_file]: install_trophy_context: Closing file fd: 0xA
[23:21:01.601] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05283_00/TROP_02.SFM (ux0:/user/00/trophy/conf/NPWR05283_00/TROP_02.SFM), fd: 0xB
[23:21:01.604] |T| [write_file]: install_trophy_context: Writing to fd: 0xB, size: 5958
[23:21:01.605] |T| [close_file]: install_trophy_context: Closing file fd: 0xB
[23:21:01.606] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05283_00/TROP_03.SFM (ux0:/user/00/trophy/conf/NPWR05283_00/TROP_03.SFM), fd: 0xC
[23:21:01.612] |T| [write_file]: install_trophy_context: Writing to fd: 0xC, size: 5937
[23:21:01.613] |T| [close_file]: install_trophy_context: Closing file fd: 0xC
[23:21:01.614] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05283_00/TROP_04.SFM (ux0:/user/00/trophy/conf/NPWR05283_00/TROP_04.SFM), fd: 0xD
[23:21:01.615] |T| [write_file]: install_trophy_context: Writing to fd: 0xD, size: 6098
[23:21:01.616] |T| [close_file]: install_trophy_context: Closing file fd: 0xD
[23:21:01.617] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05283_00/TROP_05.SFM (ux0:/user/00/trophy/conf/NPWR05283_00/TROP_05.SFM), fd: 0xE
[23:21:01.618] |T| [write_file]: install_trophy_context: Writing to fd: 0xE, size: 6029
[23:21:01.621] |T| [close_file]: install_trophy_context: Closing file fd: 0xE
