[16:29:10.985] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE00E244
[16:29:10.987] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE005878
[16:29:10.989] |T| [close_file]: _sceKernelLoadStartModule: Closing file fd: 0x5
[16:29:11.025] |I| [start_module]: Module mceLibFios2 (at "app0:sce_module/libfios2_m.suprx") module_start returned 0x0
[16:29:11.036] |E| [open_dir]: Directory does not exist at: C:/Users/frank/AppData/Roaming/Vita3K/Vita3K/ux0/plugins/ (target path: ux0:plugins)
[16:29:11.037] |W| [io_error_impl]: open_dir (_sceIoDopen) returned 0x80010002
[16:29:11.038] |W| [io_error_impl]: read_dir (_sceIoDread) returned 0x80010051
[16:29:11.039] |W| [io_error_impl]: close_dir (sceIoDclose) returned 0x80010018
[16:29:11.123] |I| [start_module]: Module output/testprx.elf (at "app0:mai_moe/mai.suprx") module_start returned 0x0
[16:29:11.139] |W| [unimplemented_impl]: Unimplemented sceKernelRegisterThreadEventHandler import called.
[16:29:11.848] |I| [export_sceIoOpen]: Opening file: app0:resource/common/boot_config.ini
[16:29:11.850] |T| [open_file]: sceIoOpen: Opening file app0:resource/common/boot_config.ini (ux0:/app/PCSG00355/resource/common/boot_config.ini), fd: 0x6
[16:29:11.855] |T| [close_file]: sceIoClose: Closing file fd: 0x6
[16:29:11.870] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[16:29:11.875] |W| [unimplemented_impl]: Unimplemented sceCoredumpRegisterCoredumpHandler import called.
[16:29:12.038] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[16:29:12.235] |W| [stubbed_impl]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
[16:29:12.242] |W| [stubbed_impl]: Stubbed sceGxmGetRenderTargetMemSize import called. (2MiB emuenv mem)
[16:29:12.392] |W| [unimplemented_impl]: Unimplemented sceKernelChangeThreadVfpException import called.
[16:29:12.393] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayThreadSetDisabled02 import called.
[16:29:12.501] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetRecommendedScheduler02 import called.
[16:29:12.511] |I| [export_sceIoOpen]: Opening file: app0:/resource/target/psp2/pack/mount/retail/archive.pkh
[16:29:12.511] |T| [open_file]: sceIoOpen: Opening file app0:/resource/target/psp2/pack/mount/retail/archive.pkh (ux0:/app/PCSG00355/resource/target/psp2/pack/mount/retail/archive.pkh), fd: 0x7
[16:29:12.539] |T| [close_file]: sceIoClose: Closing file fd: 0x7
[16:29:12.564] |I| [export_sceIoOpen]: Opening file: app0:/resource/target/psp2/pack/mount/retail/archive.pk
[16:29:12.565] |T| [open_file]: sceIoOpen: Opening file app0:/resource/target/psp2/pack/mount/retail/archive.pk (ux0:/app/PCSG00355/resource/target/psp2/pack/mount/retail/archive.pk), fd: 0x8
[16:29:12.584] |I| [export_sceIoOpen]: Opening file: app0:/resource/common/d2anime/d2a_text_jp.u16
[16:29:12.585] |T| [open_file]: sceIoOpen: Opening file app0:/resource/common/d2anime/d2a_text_jp.u16 (ux0:/app/PCSG00355/resource/common/d2anime/d2a_text_jp.u16), fd: 0x9
[16:29:12.591] |T| [close_file]: sceIoClose: Closing file fd: 0x9
[16:29:12.645] |W| [stubbed_impl]: Stubbed _sceKernelGetThreadInfo import called. (STUB)
[16:29:12.684] |E| [call_import]: Import function for NID 0xD7F0F610 not found (thread name: PCSG00355, thread ID: 8)
[16:29:12.689] |W| [stubbed_impl]: Stubbed _sceKernelWaitSignal import called. (sceKernelWaitSignal)
[16:29:12.699] |W| [stubbed_impl]: Stubbed sceKernelSendSignal import called. (sceKernelSendSignal)
[16:29:12.715] |W| [ngs::create_voice_definition]: Missing voice definition for Buss Type 7, using passthrough.
[16:29:12.866] |T| [export_sceNgsPatchCreateRouting]: Patching 0xCB92D30:0:0 to 0xCB97C30:0
[16:29:12.923] |E| [stat_file]: Missing file at C:/Users/frank/AppData/Roaming/Vita3K/Vita3K/ux0/app/PCSG00355/resource/target/psp2/sound/se/IA_SOUND.acf (target path: app0:/resource/target/psp2/sound/se/IA_SOUND.acf)
[16:29:12.924] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[16:29:12.968] |W| [ngs::create_voice_definition]: Missing voice definition for Buss Type 1, using passthrough.
[16:29:12.974] |T| [export_sceNgsPatchCreateRouting]: Patching 0xCB92D30:0:0 to 0xCB97C30:0
[16:29:12.975] |T| [export_sceNgsPatchCreateRouting]: Patching 0xCB940F0:0:0 to 0xCC681A0:0
[16:29:12.976] |T| [export_sceNgsPatchCreateRouting]: Patching 0xCC681A0:0:0 to 0xCB92D30:0
[16:29:13.083] |W| [unimplemented_impl]: Unimplemented sceGxmProgramParameterIsRegFormat import called.
[16:29:13.511] |E| [stat_file]: Missing file at C:/Users/frank/AppData/Roaming/Vita3K/Vita3K/ux0/app/PCSG00355/resource/target/psp2/texture/sys_white.gxt (target path: app0:/resource/target/psp2/texture/sys_white.gxt)
[16:29:13.515] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[16:29:13.533] |E| [stat_file]: Missing file at C:/Users/frank/AppData/Roaming/Vita3K/Vita3K/ux0/app/PCSG00355/resource/common/boot/sound_param.csv (target path: app0:/resource/common/boot/sound_param.csv)
[16:29:13.534] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[16:29:13.558] |E| [stat_file]: Missing file at C:/Users/frank/AppData/Roaming/Vita3K/Vita3K/ux0/app/PCSG00355/resource/common/boot/song_list_param.csv (target path: app0:/resource/common/boot/song_list_param.csv)
[16:29:13.561] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[16:29:13.586] |E| [stat_file]: Missing file at C:/Users/frank/AppData/Roaming/Vita3K/Vita3K/ux0/app/PCSG00355/resource/common/boot/costume_table.csv (target path: app0:/resource/common/boot/costume_table.csv)
[16:29:13.589] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[16:29:13.603] |E| [stat_file]: Missing file at C:/Users/frank/AppData/Roaming/Vita3K/Vita3K/ux0/app/PCSG00355/resource/common/boot/score_param.csv (target path: app0:/resource/common/boot/score_param.csv)
[16:29:13.604] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[16:29:13.615] |E| [stat_file]: Missing file at C:/Users/frank/AppData/Roaming/Vita3K/Vita3K/ux0/app/PCSG00355/resource/common/boot/level_table.csv (target path: app0:/resource/common/boot/level_table.csv)
[16:29:13.619] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[16:29:13.627] |E| [stat_file]: Missing file at C:/Users/frank/AppData/Roaming/Vita3K/Vita3K/ux0/app/PCSG00355/resource/common/boot/exp_table.csv (target path: app0:/resource/common/boot/exp_table.csv)
[16:29:13.628] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[16:29:13.636] |E| [stat_file]: Missing file at C:/Users/frank/AppData/Roaming/Vita3K/Vita3K/ux0/app/PCSG00355/resource/common/boot/stepup_table.csv (target path: app0:/resource/common/boot/stepup_table.csv)
[16:29:13.638] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[16:29:13.655] |E| [stat_file]: Missing file at C:/Users/frank/AppData/Roaming/Vita3K/Vita3K/ux0/app/PCSG00355/resource/common/boot/daily_play_table.csv (target path: app0:/resource/common/boot/daily_play_table.csv)
[16:29:13.656] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[16:29:13.668] |E| [stat_file]: Missing file at C:/Users/frank/AppData/Roaming/Vita3K/Vita3K/ux0/app/PCSG00355/resource/common/boot/ui_skin_table.csv (target path: app0:/resource/common/boot/ui_skin_table.csv)
[16:29:13.669] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
