|I| [export__sceAppMgrLoadExec]: sceAppMgrLoadExec run self: app0:rc1.self
[10:38:01.430] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.432] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.436] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.456] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.458] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.460] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.462] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.465] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.467] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.489] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.491] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.493] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.496] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.498] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.500] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.522] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.524] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.526] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.529] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.531] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.533] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.556] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.558] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.561] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.563] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.566] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.569] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.589] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.591] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.594] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.596] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.599] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.603] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.622] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.625] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.627] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.630] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.632] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.636] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.656] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.658] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.661] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.663] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.666] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.670] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.689] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.691] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.694] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.696] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.698] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.703] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.722] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.724] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.727] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.729] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.731] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.736] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.756] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.759] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.762] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.764] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.766] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.769] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.789] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.791] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.794] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.796] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.798] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.803] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.822] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.824] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.826] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.829] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.831] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.833] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.856] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.859] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.861] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.864] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.866] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.869] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.889] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.891] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.893] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.896] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.898] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.903] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.922] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.924] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.927] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.929] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.932] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.936] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.956] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.958] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.961] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.963] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.966] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.969] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.989] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.991] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.994] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.996] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:01.999] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.002] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.022] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.024] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.027] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.030] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.033] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.036] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.056] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.059] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.062] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.064] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.066] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.069] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.089] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.092] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.095] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.097] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.099] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.103] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.122] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.125] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.128] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.130] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.133] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.136] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.156] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.159] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.162] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.165] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.170] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.173] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.189] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.192] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.194] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.197] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.199] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.203] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.222] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.224] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.227] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.229] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.231] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.233] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.256] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.259] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.261] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.264] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.266] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.269] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.289] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.292] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.294] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.296] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.299] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.302] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.322] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.325] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.327] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.330] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.332] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.336] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.356] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.359] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.361] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.364] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.366] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.369] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.389] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.391] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.394] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.396] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.399] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.402] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.422] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.424] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.427] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.429] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.431] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.434] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.456] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.458] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.461] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.464] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.466] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.469] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.489] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.491] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.494] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.497] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.500] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.503] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.522] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.525] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.528] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.530] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.533] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.536] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.556] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.559] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.561] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.564] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.566] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.569] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.589] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.592] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.594] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.596] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.599] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.603] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.622] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.624] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.627] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.629] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.631] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.633] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.656] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.659] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.662] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.664] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.666] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.669] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.689] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.691] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.694] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.696] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.698] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.702] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.722] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.725] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.727] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.729] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.732] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.736] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.756] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.758] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.761] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.763] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.766] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.769] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.789] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.792] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.794] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.797] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.799] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.803] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.822] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.825] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.828] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.831] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.833] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.836] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.856] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.858] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.861] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.863] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.866] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.869] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.889] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.891] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.894] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.896] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.898] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.903] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.922] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.925] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.927] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.929] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.932] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.936] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.956] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.958] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.961] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.963] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.965] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.970] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.989] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.992] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.995] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:02.997] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:03.000] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:03.003] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:03.022] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:03.024] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:03.026] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:03.029] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:03.031] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:03.034] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:03.056] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:03.059] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:03.062] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:03.065] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
[10:38:03.069] |E| [renderer::gl::get_surface_data]: Color format not implemented: 3145728, report this to developer
