[08:12:48.072] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (float1) Depth
[08:12:48.073] |T| [shader::usse::USSERecompiler::compile_code_node]: Compiling code_0, size = 2
[08:12:48.073] |T| [open_file]: sceIoOpen: Opening file app0:/data/GAME.cpk (ux0:/app/PCSG01014/data/GAME.cpk), fd: 0x5
[08:12:48.074] |T| [shader::usse::USSERecompiler::compile_code_node]: Compiling code_0, size = 4
[08:12:48.076] |T| [close_file]: sceIoClose: Closing file fd: 0x5
[08:12:48.088] |I| [export_sceIoOpen]: Opening file: app0:/data/GAME.cpk
[08:12:48.088] |T| [open_file]: sceIoOpen: Opening file app0:/data/GAME.cpk (ux0:/app/PCSG01014/data/GAME.cpk), fd: 0x6
[08:12:48.116] |I| [export_sceIoOpen]: Opening file: app0:/data/MOVIE.cpk
[08:12:48.168] |T| [open_file]: sceIoOpen: Opening file app0:/data/MOVIE.cpk (ux0:/app/PCSG01014/data/MOVIE.cpk), fd: 0x7
[08:12:48.171] |T| [close_file]: sceIoClose: Closing file fd: 0x7
[08:12:48.182] |I| [export_sceIoOpen]: Opening file: app0:/data/MOVIE.cpk
[08:12:48.183] |T| [open_file]: sceIoOpen: Opening file app0:/data/MOVIE.cpk (ux0:/app/PCSG01014/data/MOVIE.cpk), fd: 0x8
[08:12:48.204] |I| [export_sceIoOpen]: Opening file: app0:/data/SOUND.cpk
[08:12:48.303] |T| [open_file]: sceIoOpen: Opening file app0:/data/SOUND.cpk (ux0:/app/PCSG01014/data/SOUND.cpk), fd: 0x9
[08:12:48.305] |T| [close_file]: sceIoClose: Closing file fd: 0x9
[08:12:48.317] |I| [export_sceIoOpen]: Opening file: app0:/data/SOUND.cpk
[08:12:48.317] |T| [open_file]: sceIoOpen: Opening file app0:/data/SOUND.cpk (ux0:/app/PCSG01014/data/SOUND.cpk), fd: 0xa
[08:12:48.781] |I| [renderer::load_shader_generic]: Generating frag shader b1a26c53244c8f21304f9b3ec31d6731b8223a999ba918c28a79d46c74cada96
[08:12:48.783] |T| [shader::create_fragment_inputs]: pa0 = tex2D<intX4>(AlbedoTexture, TEXCOORD0.xy)
[08:12:48.783] |T| [shader::usse::USSERecompiler::compile_code_node]: Compiling code_0, size = 2
[08:12:48.825] |I| [renderer::load_shader_generic]: Generating vert shader c82e6d1ccb54ae502568ad0a768d1c8870c15d1d3858ccf007c88b0971add8f8
[08:12:48.827] |D| [shader::create_parameters]: [BUFFER0  + 0] pa0 = (float4) invtx_Position
