[04:46:00.638] |D| [load_var_exports]: Found previously not found variable. nid:0x1a5c609, new_entry_point:0x4ca5bf8
[04:46:00.639] |D| [load_var_exports]: Found previously not found variable. nid:0x6ef1e48, new_entry_point:0x4ca5bf0
[04:46:00.640] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x4be3910
[04:46:00.642] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x4c80884
[04:46:00.643] |T| [close_file]: _sceKernelLoadStartModule: Closing file fd: 0x5
[04:46:00.644] |I| [start_module]: Module MONO (at "app0:/Media/Modules/mono-vita.suprx") module_start returned 0x0
[04:46:00.645] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0x5ed9c0a2 UNRECOGNISED at 0x39eae80
[04:46:00.648] |T| [log_import_call]: [LLE] TID: 7   FUNC: 0x422ae097 UNRECOGNISED at 0x39eae60
[04:46:00.753] |T| [log_import_call]: [LLE] TID: 64  FUNC: 0xd5fd9ffa UNRECOGNISED at 0x39eaf20
[04:46:00.753] |T| [log_import_call]: [LLE] TID: 64  FUNC: 0xb777bb9e UNRECOGNISED at 0x39eaf10
[04:46:00.775] |W| [unimplemented_impl]: Unimplemented sceKernelChangeThreadVfpException import called.
[04:46:00.775] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayThreadSetDisabled02 import called.
[04:46:00.854] |I| [export_sceIoOpen]: Opening file: app0:/archive.psarc
[04:46:00.855] |E| [open_file]: Missing file at G:/PSV/Vita3K/Vita3K/ux0/app/PCSG00684/archive.psarc (target path: app0:/archive.psarc)
[04:46:00.856] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[04:46:00.872] |I| [export_sceIoOpen]: Opening file: app0:/archive_patch.psarc
[04:46:00.872] |E| [open_file]: Missing file at G:/PSV/Vita3K/Vita3K/ux0/app/PCSG00684/archive_patch.psarc (target path: app0:/archive_patch.psarc)
[04:46:00.873] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[04:46:00.877] |T| [open_dir]: _sceIoDopen: Opening dir app0:/Media (ux0:/app/PCSG00684/Media), fd: 0x6
[04:46:00.883] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level0 of fd: 0x6
[04:46:00.885] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level1 of fd: 0x6
[04:46:00.886] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level10 of fd: 0x6
[04:46:00.887] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level11 of fd: 0x6
[04:46:00.887] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level12 of fd: 0x6
[04:46:00.888] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level13 of fd: 0x6
[04:46:00.888] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level14 of fd: 0x6
[04:46:00.889] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level15 of fd: 0x6
[04:46:00.889] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level16 of fd: 0x6
[04:46:00.890] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level17 of fd: 0x6
[04:46:00.891] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level18 of fd: 0x6
[04:46:00.891] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level19 of fd: 0x6
[04:46:00.892] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level2 of fd: 0x6
[04:46:00.893] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level20 of fd: 0x6
[04:46:00.893] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level21 of fd: 0x6
[04:46:00.894] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level22 of fd: 0x6
[04:46:00.895] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level23 of fd: 0x6
[04:46:00.895] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level24 of fd: 0x6
[04:46:00.897] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level25 of fd: 0x6
[04:46:00.898] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level3 of fd: 0x6
[04:46:00.898] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level4 of fd: 0x6
[04:46:00.899] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level5 of fd: 0x6
[04:46:00.899] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level6 of fd: 0x6
[04:46:00.900] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level7 of fd: 0x6
[04:46:00.900] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level8 of fd: 0x6
[04:46:00.901] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/level9 of fd: 0x6
[04:46:00.901] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/mainData of fd: 0x6
[04:46:00.902] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed of fd: 0x6
[04:46:00.904] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Modules of fd: 0x6
[04:46:00.904] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Plugins of fd: 0x6
